area,resource,distributed_quantity,date
Lahore,Food,750,2026-05-01
Lahore,Medicine,280,2026-05-01
Lahore,Clothing,400,2026-05-01
Multan,Food,600,2026-05-01
Multan,Medicine,150,2026-05-01
Multan,Clothing,300,2026-05-01
Faisalabad,Food,500,2026-05-01
Faisalabad,Medicine,200,2026-05-01
Faisalabad,Clothing,260,2026-05-01
Sialkot,Food,380,2026-05-01
Sialkot,Medicine,150,2026-05-01
Sialkot,Clothing,190,2026-05-01
Lahore,Food,760,2026-06-01
Lahore,Medicine,260,2026-06-01
Lahore,Clothing,420,2026-06-01
Multan,Food,640,2026-06-01
Multan,Medicine,140,2026-06-01
Multan,Clothing,320,2026-06-01
Faisalabad,Food,510,2026-06-01
Faisalabad,Medicine,215,2026-06-01
Faisalabad,Clothing,260,2026-06-01
Sialkot,Food,400,2026-06-01
Sialkot,Medicine,170,2026-06-01
Sialkot,Clothing,210,2026-06-01
Lahore,Food,770,2026-07-01
Lahore,Medicine,240,2026-07-01
Lahore,Clothing,440,2026-07-01
Multan,Food,690,2026-07-01
Multan,Medicine,130,2026-07-01
Multan,Clothing,330,2026-07-01
Faisalabad,Food,530,2026-07-01
Faisalabad,Medicine,235,2026-07-01
Faisalabad,Clothing,270,2026-07-01
Sialkot,Food,430,2026-07-01
Sialkot,Medicine,190,2026-07-01
Sialkot,Clothing,220,2026-07-01
