area,resource,needed_quantity,date
Lahore,Food,800,2026-05-01
Lahore,Medicine,300,2026-05-01
Lahore,Clothing,400,2026-05-01
Multan,Food,600,2026-05-01
Multan,Medicine,250,2026-05-01
Multan,Clothing,300,2026-05-01
Faisalabad,Food,500,2026-05-01
Faisalabad,Medicine,200,2026-05-01
Faisalabad,Clothing,250,2026-05-01
Sialkot,Food,400,2026-05-01
Sialkot,Medicine,150,2026-05-01
Sialkot,Clothing,200,2026-05-01
Lahore,Food,850,2026-06-01
Lahore,Medicine,350,2026-06-01
Lahore,Clothing,420,2026-06-01
Multan,Food,650,2026-06-01
Multan,Medicine,300,2026-06-01
Multan,Clothing,320,2026-06-01
Faisalabad,Food,520,2026-06-01
Faisalabad,Medicine,220,2026-06-01
Faisalabad,Clothing,260,2026-06-01
Sialkot,Food,420,2026-06-01
Sialkot,Medicine,180,2026-06-01
Sialkot,Clothing,210,2026-06-01
Lahore,Food,900,2026-07-01
Lahore,Medicine,400,2026-07-01
Lahore,Clothing,440,2026-07-01
Multan,Food,700,2026-07-01
Multan,Medicine,340,2026-07-01
Multan,Clothing,330,2026-07-01
Faisalabad,Food,540,2026-07-01
Faisalabad,Medicine,240,2026-07-01
Faisalabad,Clothing,270,2026-07-01
Sialkot,Food,440,2026-07-01
Sialkot,Medicine,200,2026-07-01
Sialkot,Clothing,220,2026-07-01
