area,resource,date,needed_quantity,distributed_quantity,program,priority
Lahore,Food,2025-01-01,286,237,Nutrition Program,Low
Lahore,Food,2025-02-01,278,277,Nutrition Program,High
Lahore,Food,2025-03-01,281,256,Nutrition Program,High
Lahore,Food,2025-04-01,288,228,Nutrition Program,Low
Lahore,Food,2025-05-01,310,300,Nutrition Program,Medium
Lahore,Food,2025-06-01,315,309,Nutrition Program,High
Lahore,Food,2025-07-01,298,233,Nutrition Program,High
Lahore,Food,2025-08-01,292,294,Nutrition Program,High
Lahore,Food,2025-09-01,279,214,Nutrition Program,Low
Lahore,Food,2025-10-01,318,268,Nutrition Program,High
Lahore,Food,2025-11-01,319,300,Nutrition Program,Low
Lahore,Food,2025-12-01,288,292,Nutrition Program,Low
Lahore,Food,2026-01-01,286,275,Nutrition Program,Low
Lahore,Food,2026-02-01,300,293,Nutrition Program,High
Lahore,Food,2026-03-01,324,290,Nutrition Program,Low
Lahore,Food,2026-04-01,307,278,Nutrition Program,Medium
Lahore,Food,2026-05-01,295,230,Nutrition Program,High
Lahore,Food,2026-06-01,301,228,Nutrition Program,High
Lahore,Food,2026-07-01,280,252,Nutrition Program,High
Lahore,Food,2026-08-01,317,324,Nutrition Program,High
Lahore,Food,2026-09-01,293,286,Nutrition Program,High
Lahore,Food,2026-10-01,279,228,Nutrition Program,Low
Lahore,Food,2026-11-01,298,237,Nutrition Program,Low
Lahore,Food,2026-12-01,295,303,Nutrition Program,High
Lahore,Medicine,2025-01-01,650,632,Health Support,High
Lahore,Medicine,2025-02-01,643,599,Health Support,High
Lahore,Medicine,2025-03-01,678,614,Health Support,High
Lahore,Medicine,2025-04-01,625,557,Health Support,High
Lahore,Medicine,2025-05-01,626,530,Health Support,High
Lahore,Medicine,2025-06-01,675,556,Health Support,High
Lahore,Medicine,2025-07-01,550,447,Health Support,High
Lahore,Medicine,2025-08-01,622,483,Health Support,High
Lahore,Medicine,2025-09-01,649,490,Health Support,High
Lahore,Medicine,2025-10-01,641,445,Health Support,High
Lahore,Medicine,2025-11-01,605,447,Health Support,High
Lahore,Medicine,2025-12-01,634,414,Health Support,High
Lahore,Medicine,2026-01-01,600,385,Health Support,High
Lahore,Medicine,2026-02-01,638,402,Health Support,High
Lahore,Medicine,2026-03-01,614,377,Health Support,High
Lahore,Medicine,2026-04-01,650,380,Health Support,High
Lahore,Medicine,2026-05-01,616,344,Health Support,High
Lahore,Medicine,2026-06-01,645,350,Health Support,High
Lahore,Medicine,2026-07-01,659,327,Health Support,High
Lahore,Medicine,2026-08-01,610,311,Health Support,High
Lahore,Medicine,2026-09-01,609,304,Health Support,High
Lahore,Medicine,2026-10-01,679,322,Health Support,High
Lahore,Medicine,2026-11-01,607,258,Health Support,High
Lahore,Medicine,2026-12-01,619,259,Health Support,High
