district_name,item_name,report_month,required_units,units_distributed,funding_source,programme,beneficiary_count,priority_level,district_code,unit_type,collection_method,last_updated,balance,remarks
Gujranwala,Food,2024-11-01,5399.0,5132.0,Private Donor,Nutrition Program,576,Medium,PK-GUJ,kg,Partner Report,2024-11-01,267.0,
Sialkot,Medicine,2024-11-01,339.0,144.0,UNHCR,Health Support,2065,Low,PK-SIA,kits,Survey,2024-11-22,138.0,Partner discrepancy noted
Quetta,Clothing,2025-09-01,431.0,304.0,USAID,Winter Aid,1007,Low,PK-QUE,pieces,Manual Entry,2025-09-24,127.0,Pending review
Peshawar,Medicine,2024-11-01,550.0,452.0,Private Donor,Health Support,1397,Low,PK-PES,kits,Mobile App,2024-11-08,98.0,Field verified
Sialkot,Clothing,2025-04-01,,2553.0,WFP,Winter Aid,227,High,PK-SIA,pieces,Manual Entry,2025-04-01,,Reported by district office
Quetta,Water,2024-09-01,153.0,51.0,UNHCR,WASH Program,145,Low,PK-QUE,liters,Manual Entry,2024-09-11,110.0,
Peshawar,Shelter,2026-09-01,2635.0,2149.0,Local Fund,Shelter Support,1495,Low,PK-PES,units,Mobile App,2026-09-03,486.0,
Faisalabad,Food,2026-06-01,4616.0,3397.0,Local Fund,Nutrition Program,1587,High,PK-FAI,kg,Partner Report,2026-06-01,1219.0,Field verified
Karachi,Water,2026-04-01,319.0,256.0,Local Fund,WASH Program,183,Medium,PK-KAR,liters,Survey,2026-04-17,63.0,Reported by district office
Faisalabad,Hygiene,2024-12-01,,1827.0,WFP,WASH Program,2358,Medium,PK-FAI,kits,Survey,2024-12-14,,
Hyderabad,Clothing,2025-08-01,3786.0,3043.0,Private Donor,Winter Aid,1260,Medium,PK-HYD,pieces,Mobile App,2025-08-10,743.0,Reported by district office
Hyderabad,Food,2024-04-01,3723.0,2969.0,Red Crescent,Nutrition Program,2445,Medium,PK-HYD,kg,Partner Report,2024-04-14,754.0,Partner discrepancy noted
Gujranwala,Water,2025-07-01,3778.0,2923.0,USAID,WASH Program,2615,High,PK-GUJ,liters,Partner Report,2025-07-24,855.0,Field verified
Bahawalpur,Hygiene,2026-02-01,792.0,706.0,UNICEF,WASH Program,2219,Low,PK-BAH,kits,Manual Entry,2026-02-19,86.0,
Sialkot,Hygiene,2025-09-01,,305.0,Local Fund,WASH Program,598,Low,PK-SIA,kits,Survey,2025-09-22,,Partner discrepancy noted
Sialkot,Medicine,2025-09-01,,607.0,Red Crescent,Health Support,1461,Medium,PK-SIA,kits,Survey,2025-09-23,,Partner discrepancy noted
Quetta,Water,2025-09-01,3376.0,2621.0,UNHCR,WASH Program,1752,High,PK-QUE,liters,Partner Report,2025-09-14,755.0,Pending review
Lahore,Medicine,2026-10-01,227.0,,WFP,Health Support,2741,Medium,PK-LAH,kits,Partner Report,2026-10-13,,Partner discrepancy noted
Lahore,Water,2026-03-01,3532.0,1644.0,Red Crescent,WASH Program,2131,High,PK-LAH,liters,Mobile App,2026-03-04,1888.0,Pending review
Gujranwala,Food,2026-05-01,588.0,428.0,WFP,Nutrition Program,449,Medium,PK-GUJ,kg,Partner Report,2026-05-14,160.0,Reported by district office
Sialkot,Hygiene,2026-10-01,147.0,164.0,Local Fund,WASH Program,2414,Low,PK-SIA,kits,Mobile App,2026-10-02,-17.0,Pending review
Bahawalpur,Shelter,2024-06-01,2464.0,2464.0,Private Donor,Shelter Support,864,Medium,PK-BAH,units,Manual Entry,2024-06-17,0.0,Pending review
Faisalabad,Hygiene,2026-06-01,3547.0,3245.0,UNICEF,WASH Program,2213,High,PK-FAI,kits,Mobile App,2026-06-10,302.0,Partner discrepancy noted
Sargodha,Shelter,2024-01-01,2541.0,2215.0,Red Crescent,Shelter Support,1701,High,PK-SAR,units,Mobile App,2024-01-08,326.0,Field verified
