Beneficiary_Region,Commodity_Type,Reporting_Period,HH_in_Need,Qty_Given,Programme_Category,Priority_Level,District_Code,Gap_Balance,Donor_Name,Notes,Record_ID
Lahore,Hygiene,Mar-2026,669.0,266.0,Development,Medium,PK-LAH,403,USAID,,REC02280
Multan,Medicine,02/01/2025,698.0,418.0,Development,Medium,PK-MUL,278,Govt Relief Fund,Verified by field officer,REC01195
Gujranwala,Clothing,07/01/2025,391.0,249.0,Emergency,Medium,PK-GUJ,142,Local Fund,Delayed due to weather,REC01437
Multan,Water,2026-01-01,343.0,318.0,Seasonal Aid,High,PK-MUL,25,Govt Relief Fund,Partial delivery,REC02487
Rawalpindi,Food,03/01/2026,685.0,259.0,Emergency,High,PK-RAW,426,USAID,Verified by field officer,REC00774
Peshawar,Food,Aug-2025,634.0,206.0,Development,Medium,PK-PES,428,UNICEF,Verified by field officer,REC02603
Sargodha,Hygiene,Aug-2026,783.0,533.0,Seasonal Aid,Low,PK-SAR,250,Red Crescent,Verified by field officer,REC00143
Gujranwala,Water,2026-06-01,219.0,76.0,,High,PK-GUJ,143,Red Crescent,Awaiting confirmation,REC02263
Sargodha,Medicine,12/01/2025,765.0,312.0,Recovery,Low,PK-SAR,453,WFP,,REC02823
Sialkot,Clothing,2026-05-01,559.0,272.0,Emergency,High,PK-SIA,287,Govt Relief Fund,Awaiting confirmation,REC00457
Sargodha,Shelter,03/01/2026,408.0,307.0,Development,Medium,PK-SAR,101,Red Crescent,N/A,REC00111
Multan,Shelter,04/01/2025,632.0,240.0,Development,Medium,PK-MUL,392,Local Fund,Verified by field officer,REC01455
Faisalabad,Water,2026/01/01,320.0,205.0,Development,High,PK-FAI,115,Red Crescent,Delayed due to weather,REC02746
Quetta,Medicine,Nov-2025,282.0,111.0,Emergency,High,PK-QUE,171,Local Fund,,REC01390
Gujranwala,Food,2026/05/01,852.0,855.0,Emergency,Medium,PK-GUJ,-7,UNICEF,Awaiting confirmation,REC02242
Rawalpindi,Medicine,2025/12/01,489.0,264.0,Development,Medium,PK-RAW,225,USAID,,REC00622
Quetta,Water,2026-10-01,440.0,242.0,Recovery,Low,PK-QUE,198,USAID,Reported late,REC01694
Multan,Clothing,Oct-2026,188.0,118.0,Seasonal Aid,High,PK-MUL,70,Govt Relief Fund,Reported late,REC01517
Bahawalpur,Shelter,2025-11-01,264.0,249.0,,Medium,PK-BAH,15,WFP,Reported late,REC02701
Karachi,Hygiene,2025-10-01,621.0,357.0,Development,Medium,PK-KAR,264,USAID,Partial delivery,REC00231
lahore,Medicine,07/01/2026,120.0,74.0,Emergency,Medium,PK-LAH,46,WFP,Reported late,REC01771
Gujranwala,Medicine,2026/03/01,561.0,504.0,Emergency,Low,PK-GUJ,57,Red Crescent,Awaiting confirmation,REC02467
